address,ins,outs,inAmount,outAmount,timeBetween,isContract,sybil
0x11e3442f85cc928fc9594f2865dea804a0e324d9,0,1,0,0,0,0,1
0x5bd25d2f4f26bc82a34de016d34612a28a0cd492,0,5,0,0,922757,0,1
0x9401518f4ebba857baa879d9f76e1cc8b31ed197,0,2,0,0.1,329791,0,1
0x260e69ab6665b9ef67b60674e265b5d21c88cb45,0,1,0,0,0,0,1
0x469788fe6e9e9681c6ebf3bf78e7fd26fc015446,0,1,0,0,0,0,1
0xd569d3cce55b71a8a3f3c418c329a66e5f714431,0,1,0,0.05,0,1,1
0x19d3364a399d251e894ac732651be8b0e4e85001,0,2,0,0,6044613,1,0
0xae9c73fd0fd237c1c6f66fe009d24ce969e98704,0,1,0,0.166,0,0,1
0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,0,3,0,0,0,1,1
0x1a73ceedb37abff3755a11695637f38bd2839df7,7,0,3.193,0,474782,0,0
0x6da5f047b1ec9e822f132efdf02e76eddf29dbf5,0,1,0,0,0,0,0
0x4b0044edd1c20c859c2f3fe3005518e80835d517,0,1,0,0.007,0,0,1
0x59d1e836f7b7210a978b25a855085cc46fd090b5,0,1,0,0,0,0,1
0x737901bea3eeb88459df9ef1be8ff3ae1b42a2ba,0,3,0,0.015,5798,1,1
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0,1,0,0.02,0,1,1
0x42ee74997406dd520c8b029738ebdf8da474175e,0,1,0,0.5,0,0,1
0x895697529f85bac8ce862ee0a7acd33c4259868b,0,2,0,4.8,725784,0,0
0x17402f1d76948fcb572d58e86490a3fe4b5d290d,1,0,0.3,0,0,0,0
0xb6728bff344e2109dbb3a0c153cad65ec4bdb736,0,8,0,0.016,224253,0,1
0x1c7e83f8c581a967940dbfa7984744646ae46b29,0,2,0,0,641,0,1
0xfa08993ef27596539d72e15e01e75950466a1bee,1,0,0.008,0,0,0,1
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,4,0,0,2181884,1,1
0xb14dae17768e6b0d58409f4a0b353807f1de150f,0,1,0,0.3,0,0,1
0x829bd824b016326a401d083b33d092293333a830,1,0,0.099,0,0,0,1
0x04cdf8d330746ee99194813c1afa9a78bed13bc0,0,1,0,0.25,0,0,1
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,1,0,0.001,0,1,1
0x5bd25d2f4f26bc82a34de016d34612a28a0cd492,0,5,0,0,927959,0,1
0x20d4db1946859e2adb0e5acc2eac58047ad41395,0,1,0,0,0,0,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,3,0,0,2810,1,0
0x5beabaebb3146685dd74176f68a0721f91297d37,0,1,0,0,0,0,0
0x922f89af2a2af5e43dec770398ac539b76e8a91b,0,1,0,0,0,1,0
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0,1,0,0.01,0,1,1
0xf9c94e13a5c2547dde7d537be76c2aaaa59cdef6,1,0,0.944,0,0,0,0
0xcf5fb2d414b549f07cbfc3e090c3a078e0289cc4,0,1,0,0,0,0,1
