address,ins,outs,inAmount,outAmount,timeBetween,topics,isContract,sybil
0xabf6e1ead6f254b51525b39c7704ba424df61f8e,0,1,0,0.01,{},0,0,1
0x5beabaebb3146685dd74176f68a0721f91297d37,0,1,0,0,"{'0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925': 1, '0x000000000000000000000000023d3483e558c08314215297038aee2a02f29bec': 1, '0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d': 1}",0,0,0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,3,0,0,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 2, '0x000000000000000000000000a507eeb5104e74413642b91caa3a9bbdc7b979f9': 1, '0x00000000000000000000000026b37eb4bb336ac1e28c7a2db001f9742ef1aac6': 3, '0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925': 1, '0x000000000000000000000000c92e8bdf79f0507f65a392b0ab4667716bfe0110': 1, '0x000000000000000000000000bf58264108f3ee2b444b8229f384ecb0ba86c21d': 1}",2175,1,0
0xabea9132b05a70803a4e85094fd0e1800777fbef,0,2,0,0.485,"{'0xd0943372c08b438a88d4b39d77216901079eda9ca59d45349841c099083b6830': 1, '0x8f5f51448394699ad6a3b80cdadf4ec68c5d724c8c3fea09bea55b3c2d0e2dd0': 1, '0x0000000000000000000000000000000000000000000000000000000000000000': 15, '0x0cdbd8bd7813095001c5fe7917bd69d834dc01db7c1dfcf52ca135bd20384413': 10, '0x000000000000000000000000000000000000000000000000000000000000a929': 1, '0xf4bf32c167ee6e782944cd1db8174729b46adcd3bc732e282cc4a80793933154': 15, '0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 1, '0x000000000000000000000000abea9132b05a70803a4e85094fd0e1800777fbef': 1, '0x00000000000000000000000005cbfb4688f53601d515624c6e65df0fb8ca5769': 1, '0x000000000000000000000000000000000000000000000000000000000000003d': 1, '0x000000000000000000000000000000000000000000000000000000000000a92a': 1, '0x000000000000000000000000000000000000000000000000000000000000a92b': 1, '0x000000000000000000000000000000000000000000000000000000000000a92c': 1, '0x000000000000000000000000000000000000000000000000000000000000a92d': 1, '0x000000000000000000000000000000000000000000000000000000000000a92e': 1, '0x000000000000000000000000000000000000000000000000000000000000a92f': 1, '0x000000000000000000000000000000000000000000000000000000000000a930': 1, '0x000000000000000000000000000000000000000000000000000000000000a931': 1, '0x000000000000000000000000000000000000000000000000000000000000a932': 1}",9562,1,0
0x926baa7445d56d5e8632046409cdc7d5844ce344,0,3,0,1.18,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 12, '0x0000000000000000000000000000000000000000000000000000000000000000': 12, '0x000000000000000000000000c3e364aeb4dd8acfee2a43cb9bd7f4f0fdde6576': 13, '0x00000000000000000000000000000000000000000000000000000000000007d2': 1, '0x00000000000000000000000000000000000000000000000000000000000007d3': 1, '0x0000000000000000000000000000000000000000000000000000000000001060': 1, '0x0000000000000000000000000000000000000000000000000000000000001061': 1, '0x0000000000000000000000000000000000000000000000000000000000001062': 1, '0x0000000000000000000000000000000000000000000000000000000000001063': 1, '0x0000000000000000000000000000000000000000000000000000000000001064': 1, '0x0000000000000000000000000000000000000000000000000000000000001065': 1, '0x0000000000000000000000000000000000000000000000000000000000001066': 1, '0x0000000000000000000000000000000000000000000000000000000000001067': 1, '0x0000000000000000000000000000000000000000000000000000000000001068': 1, '0x0000000000000000000000000000000000000000000000000000000000001069': 1, '0x17307eab39ab6107e8899845ad3d59bd9653f200f220920489ca2b5937696c31': 1, '0x0000000000000000000000001e0049783f008a0085193e00003d00cd54003c71': 1}",856856,0,1
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0,3,0,2.670,"{'0xe1fffcc4923d04b559f4d29a8bfc6cda04eb5b0d3c460751c2402c5c5cc9109c': 1, '0x000000000000000000000000d9e1ce17f2641f24ae83637ab66a2cca9c378b9f': 3, '0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 2, '0x000000000000000000000000bbfd9b37ec6ea1ca612ab4adef6d8c6ece1a4134': 2, '0x0000000000000000000000006af2d1a67ea8421860bd7c5aaccffdbed1a71e4f': 2, '0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1': 1, '0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822': 1}",2945868,1,0
0xa93a4c25bc4c5395c66adfb53e264bd870ca2876,0,1,0,0,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 1, '0x000000000000000000000000a93a4c25bc4c5395c66adfb53e264bd870ca2876': 1, '0x0000000000000000000000009c322e8eef8f9015436a33cac1ed787a04b7dfa0': 1, '0x4ec90e965519d92681267467f775ada5bd214aa92c0dc93d90a5e880ce9ed026': 1}",0,0,1
0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0,9,0,0.016,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 6, '0x0000000000000000000000000000000000000000000000000000000000000000': 3, '0x000000000000000000000000283af0b28c62c092c9727f1ee09c02ca627eb7f5': 9, '0x710ad9b6dd6f98d4939477566b8b287e7b7bba5b1d6f38da30dbfc8ffe9b34ca': 12, '0xce0457fe73731f824cc272376169235128c118b49d344817417c6d108d155e82': 6, '0x93cdeb708b7545dc668eb9280176169d1c33cfd8ed6f04690a0bcc88a93fc4ae': 6, '0xb3d987963d01b2f68493b4bdb130988f157ea43070d4ad840fee0466ed9370d9': 3, '0x335721b01866dc23fbee8b6b2c7b1e14d6f05c28cd35a2c934239f94095602a0': 3, '0xe4fc9a099f6561802b410c735edbee3308c553130ffc95c38962be812f1d5213': 3, '0x65412581168e88a1e60c6459d7f44ae83ad0832e670826c05a4e2476b57af752': 3, '0x52d7d861f09ab3d26239d492e8968629f95e9e318cf0b73bfddc441522a15fd2': 3, '0x00000000000000000000000021126ac61093260d2f2ff826395885dcde37ffa2': 6, '0xca6abbe9d7f11422cb6ca7629fbf6fe9efb1c621f71ce8f02b9f2a230097404f': 3, '0x9b87a00e30f1ac65d898f070f8a3488fe60517182d0a2098e1b4b93a54aa9bd6': 3, '0x3da24c024582931cfaf8267d8ed24d13a82a8068d5bd337d30ec45cea4e506ae': 3, '0xdbf381d2696a7d68a178b64e3844c0c86e3bba27b574618d26757373cd5d0fc7': 6, '0xa2980f9d990227fd55d2028846dda7cee14152baba7bcc38a19c888ac1c0df63': 3, '0x2027df270058fb2b3ac3299748142bd78e310a6579df87fd39378c7bf76dcc92': 6, '0x5f22ab81bb452ff2f9df5ab4dabd343abd1ba9989cc93f4c7cfeca86d39a290d': 3}",350,1,1
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,11,0,431.4,0,{},127372,0,1
0xffeea4d613b1ed76fb6b3be83c67adad38765e9a,1,0,0.078,0,{},0,0,0
